"dataset","file","check","value","expected","pass","note"
"GSE230649","GSM7230506_MYC_H847_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230506_MYC_H847_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230506_MYC_H847_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230506_MYC_H847_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230507_MYC_SHP77_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230507_MYC_SHP77_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230507_MYC_SHP77_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230507_MYC_SHP77_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230508_MYCL1_COLO668_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230508_MYCL1_COLO668_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230508_MYCL1_COLO668_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230508_MYCL1_COLO668_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230509_MYCL1_H889_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230509_MYCL1_H889_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230509_MYCL1_H889_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230509_MYCL1_H889_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230510_MYCN_H526_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230510_MYCN_H526_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230510_MYCN_H526_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230510_MYCN_H526_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230511_MYCN_H69_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230511_MYCN_H69_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230511_MYCN_H69_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230511_MYCN_H69_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230512_COLO668_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230512_COLO668_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230512_COLO668_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230512_COLO668_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230513_H1048_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230513_H1048_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230513_H1048_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230513_H1048_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230514_H196_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230514_H196_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230514_H196_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230514_H196_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230515_H524_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230515_H524_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230515_H524_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230515_H524_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230516_H526_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230516_H526_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230516_H526_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230516_H526_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230517_H69_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230517_H69_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230517_H69_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230517_H69_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230518_H847_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230518_H847_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230518_H847_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230518_H847_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230519_H889_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230519_H889_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230519_H889_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230519_H889_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230520_SHP77_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230520_SHP77_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230520_SHP77_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230520_SHP77_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE269424","GSM8315376_H524_EGFP_1_peaks.narrowPeak.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE269424","GSM8315376_H524_EGFP_1_peaks.narrowPeak.gz","start_lt_end","0","0",TRUE,""
"GSE269424","GSM8315376_H524_EGFP_1_peaks.narrowPeak.gz","liftover_pending","hg38","hg19 after lift",TRUE,"intervals lift at M5; loss rate reported per dataset (D-014)"
"GSE269424","GSM8315377_H524_EGFP_2_peaks.narrowPeak.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE269424","GSM8315377_H524_EGFP_2_peaks.narrowPeak.gz","start_lt_end","0","0",TRUE,""
"GSE269424","GSM8315377_H524_EGFP_2_peaks.narrowPeak.gz","liftover_pending","hg38","hg19 after lift",TRUE,"intervals lift at M5; loss rate reported per dataset (D-014)"
"GSE269424","GSM8315378_Lu139_EGFP_1_peaks.narrowPeak.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE269424","GSM8315378_Lu139_EGFP_1_peaks.narrowPeak.gz","start_lt_end","0","0",TRUE,""
"GSE269424","GSM8315378_Lu139_EGFP_1_peaks.narrowPeak.gz","liftover_pending","hg38","hg19 after lift",TRUE,"intervals lift at M5; loss rate reported per dataset (D-014)"
"GSE269424","GSM8315379_Lu139_EGFP_2_peaks.narrowPeak.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE269424","GSM8315379_Lu139_EGFP_2_peaks.narrowPeak.gz","start_lt_end","0","0",TRUE,""
"GSE269424","GSM8315379_Lu139_EGFP_2_peaks.narrowPeak.gz","liftover_pending","hg38","hg19 after lift",TRUE,"intervals lift at M5; loss rate reported per dataset (D-014)"
"GSE256345","GSE256345_H146_Peaks_merge500.bed.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE256345","GSE256345_H146_Peaks_merge500.bed.gz","start_lt_end","0","0",TRUE,""
"GSE256345","GSE256345_H146_Peaks_merge500.bed.gz","liftover_pending","hg38","hg19 after lift",TRUE,"intervals lift at M5; loss rate reported per dataset (D-014)"
"GSE256345","GSE256345_H82_Peaks_merge500.bed.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE256345","GSE256345_H82_Peaks_merge500.bed.gz","start_lt_end","0","0",TRUE,""
"GSE256345","GSE256345_H82_Peaks_merge500.bed.gz","liftover_pending","hg38","hg19 after lift",TRUE,"intervals lift at M5; loss rate reported per dataset (D-014)"
"GSE249362","GSM8209574_20240222_KS195_ChIP_NCIH1048_DMSO_POU2F3_CST_DX1.bed.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE249362","GSM8209574_20240222_KS195_ChIP_NCIH1048_DMSO_POU2F3_CST_DX1.bed.gz","start_lt_end","0","0",TRUE,""
"GSE249362","GSM8209574_20240222_KS195_ChIP_NCIH1048_DMSO_POU2F3_CST_DX1.bed.gz","build_assertion_hg19","34 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 34 chromosomes within hg19 bounds"
"GSE249362","GSM8209574_20240222_KS195_ChIP_NCIH1048_DMSO_POU2F3_CST_DX1.bed.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE249362","GSM8209575_20240222_KS199_ChIP_NCIH1048_FHD286_POU2F3_CST_DX1.bed.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE249362","GSM8209575_20240222_KS199_ChIP_NCIH1048_FHD286_POU2F3_CST_DX1.bed.gz","start_lt_end","0","0",TRUE,""
"GSE249362","GSM8209575_20240222_KS199_ChIP_NCIH1048_FHD286_POU2F3_CST_DX1.bed.gz","build_assertion_hg19","25 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 25 chromosomes within hg19 bounds"
"GSE249362","GSM8209575_20240222_KS199_ChIP_NCIH1048_FHD286_POU2F3_CST_DX1.bed.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE249362","GSM8209576_20240222_KS203_ChIP_NCIH1048_FHD609_POU2F3_CST_DX1.bed.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE249362","GSM8209576_20240222_KS203_ChIP_NCIH1048_FHD609_POU2F3_CST_DX1.bed.gz","start_lt_end","0","0",TRUE,""
"GSE249362","GSM8209576_20240222_KS203_ChIP_NCIH1048_FHD609_POU2F3_CST_DX1.bed.gz","build_assertion_hg19","33 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 33 chromosomes within hg19 bounds"
"GSE249362","GSM8209576_20240222_KS203_ChIP_NCIH1048_FHD609_POU2F3_CST_DX1.bed.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE249362","GSM8209584_20240402_KS235_ChIP_NCIH526_POU2F3_CST_CKX.bed.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE249362","GSM8209584_20240402_KS235_ChIP_NCIH526_POU2F3_CST_CKX.bed.gz","start_lt_end","0","0",TRUE,""
"GSE249362","GSM8209584_20240402_KS235_ChIP_NCIH526_POU2F3_CST_CKX.bed.gz","build_assertion_hg19","45 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 45 chromosomes within hg19 bounds"
"GSE249362","GSM8209584_20240402_KS235_ChIP_NCIH526_POU2F3_CST_CKX.bed.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE249362","GSM8209588_20240402_KS239_ChIP_NCIH211_POU2F3_CST_CKX.bed.gz","seqname_style","UCSC","UCSC or Ensembl",TRUE,""
"GSE249362","GSM8209588_20240402_KS239_ChIP_NCIH211_POU2F3_CST_CKX.bed.gz","start_lt_end","0","0",TRUE,""
"GSE249362","GSM8209588_20240402_KS239_ChIP_NCIH211_POU2F3_CST_CKX.bed.gz","build_assertion_hg19","42 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 42 chromosomes within hg19 bounds"
"GSE249362","GSM8209588_20240402_KS239_ChIP_NCIH211_POU2F3_CST_CKX.bed.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE60052","GSE60052_79tumor.7normal.normalized.log2.data.Rda.tsv.gz","header_whitespace","85","handled by trimws()",TRUE,"85 sample name(s) carry whitespace — trimws() is mandatory at load"
"GSE60052","GSE60052_79tumor.7normal.normalized.log2.data.Rda.tsv.gz","n_samples","86","86",TRUE,""
"GSE60052","GSE60052_79tumor.7normal.normalized.log2.data.Rda.tsv.gz","n_normal","7","7",TRUE,"normals identified by the '.normal' suffix"
"GSE60052","GSE60052_79tumor.7normal.normalized.log2.data.Rda.tsv.gz","n_tumour","79","79",TRUE,""
"GSE60052","GSE60052_79tumor.7normal.normalized.log2.data.Rda.tsv.gz","value_scale","max=12.96","log2 scale (max < 100)",TRUE,"confirms raw counts are NOT available -> limma, not DESeq2 (R-15)"
"GSE261348","GSE261348_IMfirst_DSP_rawcounts.xlsx","has_count_sheet","TargetCountMatrix","TargetCountMatrix",TRUE,"workbook has 5 sheets; sheet 1 is SegmentProperties, not the counts"
"GSE261348","GSE261348_IMfirst_DSP_rawcounts.xlsx","n_roi","175","175",TRUE,"ROI count from the GEO series record"
"GSE261348","GSE261348_IMfirst_DSP_rawcounts.xlsx","panel_genes","1738","1000-3000 (targeted CTA)",TRUE,"targeted panel — regulon coverage fraction must be reported on every spatial figure"
"GSE261348","GSE261348_IMfirst_DSP_rawcounts.xlsx","segment_gap_matches_declared","184 vs 175","184 vs 175",TRUE,"known deposit gap, characterised (R-17): 9 segments from slide IMF-001/002 — M9 action: exclude that slide"
"GSE261345","GSE261345_CANTABRICO_DSP_rawcounts.xlsx","has_count_sheet","TargetCountMatrix","TargetCountMatrix",TRUE,"workbook has 5 sheets; sheet 1 is SegmentProperties, not the counts"
"GSE261345","GSE261345_CANTABRICO_DSP_rawcounts.xlsx","n_roi","121","121",TRUE,"ROI count from the GEO series record"
"GSE261345","GSE261345_CANTABRICO_DSP_rawcounts.xlsx","panel_genes","1766","1000-3000 (targeted CTA)",TRUE,"targeted panel — regulon coverage fraction must be reported on every spatial figure"
"GSE261345","GSE261345_CANTABRICO_DSP_rawcounts.xlsx","segment_rows_vs_matrix_roi","121 vs 121","equal",TRUE,""
"ucsc_chain_hg38_to_hg19","hg38ToHg19.over.chain.gz","loadable","25 chains","loadable",TRUE,""
"ucsc_chain_hg38_to_hg19","hg38ToHg19.over.chain.gz","covers_analysis_chroms","all 23","chr1-22,X",TRUE,""
"cross_dataset","(all)","cellline_aliases_observed","14",">0",TRUE,"H1048->H1048; NCIH1048->H1048; H211->H211; NCIH211->H211; H526->H526; NCIH526->H526; SHP77->SHP77; SHP-77->SHP77; H524->H524; H69->H69; H847->H847; H889->H889; H196->H196; COLO668->COLO668"
"cross_dataset","(all)","seqname_conventions_in_project","Ensembl + UCSC","documented",TRUE,"both conventions occur; harmonise_seqnames() is mandatory before any join (R-16)"
